customer_id,churn_value,churn_label,customer_status,churn_category,churn_reason,tenure,tenure_cohort,cluster,early_churn,monthly_charges,total_charges,total_revenue,cltv,contract,payment_method,paperless_billing,satisfaction_score,number_of_referrals,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,num_streaming_services,has_security_service,total_services_used,avg_monthly_gb_download
0031-PVLZI,1,Yes,Churned,Price,Long distance charges,4,4–6,0,1,20.35,76.35,126.07,4133,Month-to-Month,Mailed check,No,1,0,No,No,No,No,No,No,No,0,0,0,0
0032-PGELS,1,Yes,Churned,Attitude,Attitude of service provider,1,0–3,0,1,30.5,30.5,30.5,5171,Month-to-Month,Bank transfer (automatic),No,1,1,Yes,No,No,No,No,No,No,0,1,1,19
0036-IHMOT,0,No,Stayed,Not Applicable,,55,25+,1,0,103.7,5656.75,7603.95,5892,One Year,Bank transfer (automatic),Yes,3,10,No,Yes,Yes,Yes,Yes,Yes,Yes,3,1,6,57
0040-HALCW,0,No,Stayed,Not Applicable,,54,25+,0,0,20.4,1090.6,2154.4,6393,Two Year,Credit card (automatic),No,4,3,No,No,No,No,No,No,No,0,0,0,0
0042-JVWOJ,0,No,Stayed,Not Applicable,,26,25+,0,0,19.6,471.85,1430.8,3722,One Year,Bank transfer (automatic),Yes,4,0,No,No,No,No,No,No,No,0,0,0,0
0042-RLHYP,0,No,Stayed,Not Applicable,,69,25+,0,0,19.7,1396.9,4045.81,4131,Two Year,Bank transfer (automatic),No,5,5,No,No,No,No,No,No,No,0,0,0,0
0048-LUMLS,0,No,Stayed,Not Applicable,,37,25+,1,0,91.2,3247.55,4838.92,5263,One Year,Credit card (automatic),No,5,1,No,No,No,No,Yes,Yes,Yes,3,0,3,51
0048-PIHNL,0,No,Stayed,Not Applicable,,49,25+,0,0,20.45,900.9,3330.32,6061,One Year,Bank transfer (automatic),No,3,5,No,No,No,No,No,No,No,0,0,0,0
0052-DCKON,0,No,Stayed,Not Applicable,,66,25+,1,0,115.8,7942.15,10830.97,5845,One Year,Bank transfer (automatic),No,3,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,41
0052-YNYOT,0,No,Stayed,Not Applicable,,67,25+,0,0,20.55,1343.4,2861.91,5462,One Year,Electronic check,No,5,0,No,No,No,No,No,No,No,0,0,0,0
0056-EPFBG,0,No,Stayed,Not Applicable,,20,13–24,2,0,39.4,825.4,825.4,3899,Two Year,Credit card (automatic),Yes,3,4,Yes,No,Yes,Yes,No,No,No,0,1,3,22
0057-QBUQH,0,No,Stayed,Not Applicable,,43,25+,0,0,25.1,1070.15,2387.67,4797,Two Year,Electronic check,Yes,4,0,No,No,No,No,No,No,No,0,0,0,0
0058-EVZWM,0,No,Stayed,Not Applicable,,55,25+,1,0,89.8,4959.6,5239.0,5875,Month-to-Month,Bank transfer (automatic),Yes,3,2,Yes,No,No,No,Yes,No,No,1,1,2,9
0060-FUALY,0,No,Stayed,Not Applicable,,59,25+,1,0,94.75,5597.65,6564.66,5238,Month-to-Month,Electronic check,Yes,3,4,Yes,Yes,No,No,Yes,No,No,1,1,3,14
0064-SUDOG,0,No,Stayed,Not Applicable,,12,7–12,0,0,20.3,224.5,455.86,5190,Two Year,Bank transfer (automatic),No,5,3,No,No,No,No,No,No,No,0,0,0,0
0064-YIJGF,0,No,Stayed,Not Applicable,,27,25+,2,0,75.75,1929.0,2611.02,4994,Month-to-Month,Bank transfer (automatic),Yes,3,7,No,No,No,No,No,No,No,0,0,0,23
0067-DKWBL,1,Yes,Churned,Competitor,Competitor made better offer,2,0–3,2,1,49.25,91.1,179.08,3475,Month-to-Month,Electronic check,Yes,2,0,Yes,No,No,No,No,No,No,0,1,1,27
0068-FIGTF,0,No,Stayed,Not Applicable,,27,25+,2,0,78.2,2078.95,3399.52,2297,One Year,Mailed check,No,3,0,No,Yes,Yes,Yes,Yes,Yes,Yes,3,1,6,59
0071-NDAFP,0,No,Stayed,Not Applicable,,25,25+,0,0,25.5,630.6,1178.43,5230,Two Year,Credit card (automatic),No,3,1,No,No,No,No,No,No,No,0,0,0,0
0074-HDKDG,0,No,Stayed,Not Applicable,,25,25+,2,0,61.6,1611.0,1727.35,3807,One Year,Bank transfer (automatic),Yes,3,5,Yes,Yes,Yes,No,No,No,No,0,1,3,19
0076-LVEPS,0,No,Stayed,Not Applicable,,29,25+,2,0,45.0,1242.45,1230.19,3290,Month-to-Month,Mailed check,Yes,4,0,Yes,Yes,Yes,Yes,No,No,No,0,1,4,21
0078-XZMHT,0,No,Stayed,Not Applicable,,72,25+,1,0,85.15,6316.2,8646.12,6322,Two Year,Bank transfer (automatic),Yes,3,5,No,Yes,Yes,Yes,Yes,Yes,Yes,3,1,6,52
0080-EMYVY,0,No,Stayed,Not Applicable,,14,13–24,0,0,51.45,727.85,1064.41,4298,One Year,Credit card (automatic),No,3,0,No,Yes,No,No,No,No,No,0,1,1,12
0080-OROZO,0,No,Stayed,Not Applicable,,35,25+,1,0,99.25,3532.0,4806.7,3244,One Year,Electronic check,Yes,3,0,No,No,Yes,Yes,Yes,Yes,Yes,3,1,5,2
0082-LDZUE,0,No,Joined,Not Applicable,,1,0–3,0,0,44.3,44.3,87.25,4427,Month-to-Month,Mailed check,Yes,5,0,No,No,No,No,No,No,No,0,0,0,9
0082-OQIQY,0,No,Stayed,Not Applicable,,29,25+,2,0,94.2,2607.6,2687.05,4561,Month-to-Month,Electronic check,Yes,5,0,No,No,No,Yes,Yes,Yes,Yes,3,0,4,17
0083-PIVIK,0,No,Stayed,Not Applicable,,64,25+,1,0,81.25,5567.55,5958.91,4761,One Year,Electronic check,No,3,0,Yes,Yes,Yes,Yes,Yes,No,No,1,1,5,69
0089-IIQKO,0,No,Stayed,Not Applicable,,39,25+,1,0,99.95,3767.4,4718.22,4447,Month-to-Month,Credit card (automatic),Yes,3,1,No,No,No,Yes,Yes,Yes,Yes,3,0,4,53
0093-EXYQL,0,No,Stayed,Not Applicable,,40,25+,1,0,91.55,3673.6,5439.2,5742,Two Year,Electronic check,Yes,3,0,No,No,No,No,Yes,Yes,No,2,0,2,23
0093-XWZFY,1,Yes,Churned,Competitor,Competitor had better devices,40,25+,1,0,104.5,4036.85,5544.45,2832,Month-to-Month,Credit card (automatic),Yes,1,0,No,Yes,Yes,No,Yes,Yes,Yes,3,1,5,15
0094-OIFMO,1,Yes,Churned,Dissatisfaction,Product dissatisfaction,11,7–12,2,0,95.0,1120.3,1367.79,5980,Month-to-Month,Electronic check,Yes,1,0,No,Yes,No,No,Yes,Yes,No,2,1,3,29
0096-BXERS,0,No,Stayed,Not Applicable,,6,4–6,2,0,50.35,314.55,570.51,3442,Month-to-Month,Electronic check,No,3,10,No,No,No,No,No,No,No,0,0,0,85
0096-FCPUF,0,No,Stayed,Not Applicable,,30,25+,2,0,64.5,1888.45,1967.65,5039,Month-to-Month,Mailed check,Yes,3,0,Yes,No,No,No,No,Yes,Yes,2,1,3,15
0098-BOWSO,0,No,Stayed,Not Applicable,,27,25+,0,0,19.4,529.8,1087.62,3792,Month-to-Month,Electronic check,Yes,5,0,No,No,No,No,No,No,No,0,0,0,0
0100-DUVFC,0,No,Stayed,Not Applicable,,70,25+,1,0,104.8,7308.95,10067.14,5291,One Year,Electronic check,Yes,5,3,No,Yes,Yes,No,Yes,Yes,No,2,1,4,28
0103-CSITQ,0,No,Stayed,Not Applicable,,57,25+,1,0,109.4,6252.7,6709.27,6026,One Year,Bank transfer (automatic),Yes,5,10,No,Yes,Yes,Yes,Yes,Yes,Yes,3,1,6,73
0104-PPXDV,0,No,Stayed,Not Applicable,,58,25+,0,0,50.3,2878.55,3933.78,5232,One Year,Credit card (automatic),No,5,10,No,No,Yes,No,No,No,No,0,1,1,18
0106-GHRQR,0,No,Stayed,Not Applicable,,16,13–24,2,0,71.4,1212.1,1623.46,3360,Month-to-Month,Bank transfer (automatic),Yes,5,0,No,Yes,Yes,No,No,Yes,Yes,2,1,4,48
0106-UGRDO,0,No,Stayed,Not Applicable,,69,25+,1,0,116.0,8182.85,10840.73,4216,Two Year,Electronic check,Yes,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,27
0107-WESLM,1,Yes,Churned,Attitude,Attitude of support person,1,0–3,0,1,19.85,19.85,51.62,3874,Month-to-Month,Electronic check,Yes,2,0,No,No,No,No,No,No,No,0,0,0,0
0107-YHINA,1,Yes,Churned,Competitor,Competitor had better devices,1,0–3,2,1,99.75,99.75,140.46,4214,Month-to-Month,Electronic check,Yes,1,0,No,No,Yes,No,Yes,Yes,Yes,3,1,4,25
0111-KLBQG,0,No,Stayed,Not Applicable,,32,25+,2,0,93.95,2861.45,3880.97,2844,One Year,Mailed check,Yes,5,9,No,Yes,No,No,Yes,Yes,Yes,3,1,4,23
0112-QAWRZ,0,No,Stayed,Not Applicable,,16,13–24,2,0,90.8,1442.2,2221.56,5560,Month-to-Month,Bank transfer (automatic),Yes,3,8,No,No,Yes,No,Yes,No,No,1,1,2,12
0112-QWPNC,1,Yes,Churned,Competitor,Competitor offered higher download speeds,49,25+,1,0,84.35,4059.35,5997.3,6452,One Year,Electronic check,No,2,1,Yes,No,Yes,Yes,Yes,Yes,Yes,3,1,6,10
0114-IGABW,0,No,Stayed,Not Applicable,,71,25+,1,0,58.25,4145.9,4145.9,5224,Two Year,Bank transfer (automatic),No,5,2,No,Yes,Yes,Yes,Yes,Yes,Yes,3,1,6,29
0114-PEGZZ,0,No,Stayed,Not Applicable,,33,25+,1,0,107.55,3645.5,5285.27,4800,Month-to-Month,Electronic check,No,3,0,No,Yes,Yes,No,Yes,Yes,Yes,3,1,5,12
0114-RSRRW,0,No,Stayed,Not Applicable,,10,7–12,0,0,19.95,187.75,683.75,3831,Month-to-Month,Bank transfer (automatic),Yes,4,9,No,No,No,No,No,No,No,0,0,0,0
0115-TFERT,1,Yes,Churned,Attitude,Attitude of service provider,21,13–24,2,0,111.2,2317.1,3198.56,4123,Month-to-Month,Electronic check,Yes,3,1,No,Yes,Yes,Yes,Yes,Yes,Yes,3,1,6,59
0117-LFRMW,1,Yes,Churned,Competitor,Competitor offered more data,37,25+,2,0,40.2,1448.8,1448.8,3627,Month-to-Month,Bank transfer (automatic),No,2,1,Yes,Yes,Yes,No,No,No,No,0,1,3,23
0118-JPNOY,0,No,Stayed,Not Applicable,,26,25+,2,0,85.8,2193.65,3070.89,5700,Month-to-Month,Credit card (automatic),Yes,3,0,Yes,No,No,No,Yes,No,No,1,1,2,7
0121-SNYRK,0,No,Stayed,Not Applicable,,50,25+,0,0,35.4,1748.9,1748.9,5052,One Year,Mailed check,Yes,3,0,Yes,No,No,Yes,No,No,No,0,1,2,7
0122-OAHPZ,1,Yes,Churned,Competitor,Competitor made better offer,7,7–12,2,0,73.85,511.25,698.56,2473,Month-to-Month,Electronic check,Yes,3,0,No,No,No,No,No,No,Yes,1,0,1,26
0123-CRBRT,0,No,Stayed,Not Applicable,,61,25+,1,0,88.1,5526.75,8405.34,5152,Two Year,Mailed check,No,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,28
0125-LZQXK,1,Yes,Churned,Attitude,Attitude of service provider,15,13–24,2,0,101.35,1553.95,2242.75,3025,Month-to-Month,Electronic check,Yes,2,0,No,No,Yes,Yes,Yes,Yes,Yes,3,1,5,12
0128-MKWSG,0,No,Stayed,Not Applicable,,26,25+,2,0,45.8,1147.0,1147.0,3287,Month-to-Month,Mailed check,No,4,0,Yes,No,No,Yes,No,Yes,Yes,2,1,4,19
0129-KPTWJ,0,No,Stayed,Not Applicable,,72,25+,1,0,94.65,6747.35,9139.19,5943,Month-to-Month,Electronic check,Yes,3,9,No,No,Yes,No,Yes,Yes,Yes,3,1,4,23
0129-QMPDR,0,No,Stayed,Not Applicable,,44,25+,0,0,20.5,865.05,2070.65,3093,One Year,Bank transfer (automatic),Yes,3,1,No,No,No,No,No,No,No,0,0,0,0
0130-SXOUN,0,No,Stayed,Not Applicable,,66,25+,1,0,89.4,5976.9,9200.36,4889,Month-to-Month,Credit card (automatic),No,3,0,No,Yes,No,No,No,Yes,Yes,2,1,3,8
0133-BMFZO,1,Yes,Churned,Competitor,Competitor offered higher download speeds,2,0–3,2,1,86.25,181.65,255.27,3529,Month-to-Month,Electronic check,Yes,2,0,Yes,Yes,No,Yes,No,No,No,0,1,3,16
0134-XWXCE,0,No,Stayed,Not Applicable,,44,25+,2,0,74.85,3268.05,3589.82,3253,One Year,Bank transfer (automatic),No,5,0,No,No,Yes,Yes,Yes,Yes,Yes,3,1,5,17
0135-NMXAP,1,Yes,Churned,Attitude,Attitude of support person,12,7–12,2,0,89.75,1052.4,1224.96,5671,Month-to-Month,Bank transfer (automatic),Yes,3,0,No,Yes,No,No,Yes,No,No,1,1,2,6
0136-IFMYD,0,No,Stayed,Not Applicable,,69,25+,1,0,109.95,7634.25,8904.54,4297,Two Year,Electronic check,Yes,5,1,No,Yes,Yes,Yes,Yes,Yes,No,2,1,5,17
0137-OCGAB,1,Yes,Churned,Price,Lack of affordable download/upload speed,1,0–3,2,1,80.2,80.2,81.43,3056,Month-to-Month,Mailed check,Yes,3,0,No,Yes,No,No,No,No,No,0,1,1,69
0137-UDEUO,1,Yes,Churned,Price,Long distance charges,3,0–3,0,1,19.85,63.75,141.0,3398,Month-to-Month,Mailed check,No,1,0,No,No,No,No,No,No,No,0,0,0,0
0139-IVFJG,0,No,Joined,Not Applicable,,2,0–3,2,0,90.35,190.5,199.8,5361,Month-to-Month,Electronic check,No,3,10,Yes,Yes,No,No,Yes,No,No,1,1,3,53
0141-YEAYS,0,No,Stayed,Not Applicable,,27,25+,2,0,86.45,2401.05,2481.24,5990,Two Year,Bank transfer (automatic),Yes,4,0,No,Yes,Yes,No,No,No,No,0,1,2,4
0142-GVYSN,0,No,Stayed,Not Applicable,,26,25+,0,0,20.3,511.25,858.09,5712,Month-to-Month,Electronic check,Yes,5,0,No,No,No,No,No,No,No,0,0,0,0
0147-ESWWR,0,No,Stayed,Not Applicable,,39,25+,2,0,101.25,3949.15,4735.0,3172,Month-to-Month,Electronic check,Yes,4,9,No,No,No,Yes,Yes,Yes,Yes,3,0,4,21
0148-DCDOS,1,Yes,Churned,Competitor,Competitor had better devices,25,25+,2,0,94.7,2362.1,3234.1,5641,Month-to-Month,Bank transfer (automatic),Yes,1,0,No,No,No,No,Yes,Yes,Yes,3,0,3,8
0151-ONTOV,1,Yes,Churned,Competitor,Competitor had better devices,1,0–3,2,1,70.9,70.9,110.71,4739,Month-to-Month,Mailed check,No,1,0,No,No,No,No,No,No,No,0,0,0,23
0156-FVPTA,1,Yes,Churned,Attitude,Attitude of service provider,22,13–24,2,0,54.2,1152.7,1751.98,5102,Month-to-Month,Electronic check,Yes,2,1,Yes,No,No,Yes,No,No,No,0,1,2,21
0164-APGRB,0,No,Stayed,Not Applicable,,72,25+,1,0,114.9,8496.7,11979.34,4589,Two Year,Electronic check,Yes,4,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,5
0164-XAIRP,0,No,Stayed,Not Applicable,,24,13–24,0,0,19.55,470.2,725.56,2511,Two Year,Bank transfer (automatic),Yes,5,0,No,No,No,No,No,No,No,0,0,0,0
0168-XZKBB,0,No,Stayed,Not Applicable,,19,13–24,2,0,86.85,1564.4,1713.36,5072,Month-to-Month,Electronic check,Yes,5,8,No,No,No,No,Yes,No,No,1,0,1,16
0174-QRVVY,0,No,Stayed,Not Applicable,,71,25+,0,0,25.35,1847.55,2500.75,5747,Two Year,Credit card (automatic),No,5,2,No,No,No,No,No,No,No,0,0,0,0
0177-PXBAT,0,No,Stayed,Not Applicable,,33,25+,1,0,109.9,3694.7,4524.65,5655,One Year,Bank transfer (automatic),Yes,3,7,Yes,No,Yes,Yes,Yes,Yes,No,2,1,5,20
0178-CIIKR,0,No,Joined,Not Applicable,,3,0–3,0,0,19.95,58.0,66.07,5949,Month-to-Month,Mailed check,No,3,0,No,No,No,No,No,No,No,0,0,0,0
0178-SZBHO,0,No,Stayed,Not Applicable,,47,25+,2,0,87.2,4017.45,4068.68,3760,Month-to-Month,Electronic check,No,3,7,No,Yes,No,No,Yes,No,No,1,1,2,13
0181-RITDD,0,No,Stayed,Not Applicable,,62,25+,1,0,108.15,6825.65,6934.77,5298,Two Year,Mailed check,No,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,20
0186-CAERR,0,No,Stayed,Not Applicable,,71,25+,1,0,116.3,8309.55,8514.03,4644,One Year,Bank transfer (automatic),Yes,4,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,48
0187-QSXOE,0,No,Stayed,Not Applicable,,7,7–12,2,0,89.0,605.45,899.24,5711,Two Year,Electronic check,Yes,4,8,No,No,No,No,Yes,Yes,Yes,3,0,3,11
0187-WZNAB,0,No,Stayed,Not Applicable,,27,25+,2,0,74.4,1972.35,3232.17,4331,Month-to-Month,Mailed check,No,3,6,Yes,No,No,No,No,No,No,0,1,1,28
0188-GWFLE,0,No,Joined,Not Applicable,,2,0–3,0,0,20.05,33.7,37.32,4978,Month-to-Month,Mailed check,No,3,0,No,No,No,No,No,No,No,0,0,0,0
0191-EQUUH,0,No,Stayed,Not Applicable,,25,25+,2,0,35.05,844.45,844.45,2754,Two Year,Bank transfer (automatic),No,4,0,Yes,No,No,Yes,No,No,No,0,1,2,75
0191-ZHSKZ,0,No,Stayed,Not Applicable,,30,25+,2,0,74.75,2111.3,3269.6,3033,One Year,Electronic check,Yes,4,0,Yes,Yes,No,No,Yes,Yes,No,2,1,4,5
0193-ESZXP,1,Yes,Churned,Attitude,Attitude of support person,58,25+,1,0,105.5,6205.5,7188.02,5067,One Year,Credit card (automatic),Yes,1,1,Yes,Yes,No,Yes,Yes,Yes,Yes,3,1,6,19
0195-IESCP,1,Yes,Churned,Competitor,Competitor offered more data,10,7–12,2,0,85.25,855.3,975.5,3573,Month-to-Month,Electronic check,Yes,3,1,No,No,No,No,No,Yes,Yes,2,0,2,82
0196-JTUQI,0,No,Stayed,Not Applicable,,9,7–12,2,0,75.2,633.85,717.28,5841,Month-to-Month,Credit card (automatic),Yes,5,0,No,No,No,No,No,No,No,0,0,0,28
0196-VULGZ,1,Yes,Churned,Other,Deceased,6,4–6,2,1,84.35,474.9,647.16,5721,Month-to-Month,Electronic check,Yes,3,1,No,No,No,No,No,Yes,No,1,0,1,17
0197-PNKNK,0,No,Stayed,Not Applicable,,69,25+,1,0,84.45,5848.6,8574.08,5629,One Year,Bank transfer (automatic),No,3,7,Yes,No,Yes,No,No,No,No,0,1,2,16
0201-MIBOL,0,No,Stayed,Not Applicable,,66,25+,1,0,102.4,6471.85,7161.55,4861,Two Year,Bank transfer (automatic),Yes,3,0,Yes,No,No,No,Yes,Yes,Yes,3,1,4,20
0201-OAMXR,1,Yes,Churned,Dissatisfaction,Network reliability,70,25+,1,0,115.55,8127.6,8842.3,4838,One Year,Credit card (automatic),No,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,52
0203-HHYIJ,1,Yes,Churned,Price,Long distance charges,25,25+,0,0,25.3,676.35,815.6,3779,One Year,Bank transfer (automatic),No,3,0,No,No,No,No,No,No,No,0,0,0,0
0206-OYVOC,0,No,Stayed,Not Applicable,,46,25+,0,0,19.25,864.2,1983.38,5596,Two Year,Mailed check,Yes,5,1,No,No,No,No,No,No,No,0,0,0,0
0206-TBWLC,0,No,Stayed,Not Applicable,,54,25+,1,0,114.65,6049.5,6665.1,4488,One Year,Mailed check,Yes,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,26
0207-MDKNV,1,Yes,Churned,Competitor,Competitor made better offer,15,13–24,2,0,105.1,1582.75,1918.6,2122,Month-to-Month,Electronic check,No,1,0,Yes,No,Yes,Yes,Yes,Yes,Yes,3,1,6,7
0208-BPQEJ,0,No,Stayed,Not Applicable,,12,7–12,0,0,19.4,198.1,297.1,3713,Month-to-Month,Bank transfer (automatic),No,3,0,No,No,No,No,No,No,No,0,0,0,0
0212-ISBBF,0,No,Stayed,Not Applicable,,22,13–24,2,0,50.35,1098.85,1098.85,2875,Month-to-Month,Electronic check,Yes,3,0,No,Yes,No,No,Yes,Yes,Yes,3,1,4,22
0214-JHPFW,0,No,Stayed,Not Applicable,,70,25+,1,0,57.8,4039.3,4038.29,5640,Two Year,Bank transfer (automatic),No,4,9,No,Yes,Yes,Yes,Yes,Yes,Yes,3,1,6,85
0215-BQKGS,0,No,Stayed,Not Applicable,,30,25+,2,0,84.3,2438.6,3310.5,5393,Month-to-Month,Credit card (automatic),Yes,4,0,Yes,Yes,Yes,No,No,No,No,0,1,3,20
0218-QNVAS,0,No,Stayed,Not Applicable,,71,25+,1,0,100.55,7113.75,9108.9,5876,One Year,Bank transfer (automatic),No,5,1,No,Yes,No,No,Yes,Yes,Yes,3,1,4,59
0219-QAERP,0,No,Stayed,Not Applicable,,30,25+,0,0,19.8,576.65,870.95,4006,One Year,Credit card (automatic),No,5,2,No,No,No,No,No,No,No,0,0,0,0
0219-YTZUE,1,Yes,Churned,Competitor,Competitor made better offer,4,4–6,2,1,84.8,371.9,486.98,4939,Month-to-Month,Bank transfer (automatic),Yes,3,5,No,Yes,Yes,No,No,No,Yes,1,1,3,19
0220-EBGCE,1,Yes,Churned,Competitor,Competitor made better offer,2,0–3,2,1,85.85,167.3,195.58,3273,Month-to-Month,Electronic check,Yes,1,0,No,No,Yes,No,No,Yes,Yes,2,1,3,28
0221-NAUXK,0,No,Stayed,Not Applicable,,10,7–12,0,0,19.95,219.5,298.1,3044,One Year,Bank transfer (automatic),Yes,5,0,No,No,No,No,No,No,No,0,0,0,0
0221-WMXNQ,0,No,Stayed,Not Applicable,,4,4–6,2,0,75.35,273.4,419.0,4033,One Year,Electronic check,No,3,0,Yes,No,No,No,No,No,No,0,1,1,29
0222-CNVPT,0,No,Stayed,Not Applicable,,52,25+,1,0,48.8,2555.05,2555.05,4865,Two Year,Credit card (automatic),Yes,3,0,Yes,No,No,No,Yes,Yes,Yes,3,1,4,19
0224-HJAPT,1,Yes,Churned,Competitor,Competitor made better offer,5,4–6,2,1,47.15,223.15,333.2,2857,Month-to-Month,Electronic check,No,2,0,No,No,No,No,No,No,Yes,1,0,1,85
0224-NIJLP,0,No,Stayed,Not Applicable,,8,7–12,0,0,20.15,165.5,188.46,3899,Two Year,Mailed check,No,4,1,No,No,No,No,No,No,No,0,0,0,0
